,,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,MSZoning_E,Alley_E,LotShape_E,LandContour_E,LotConfig_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,FireplaceQu_E,GarageType_E,GarageFinish_E,GarageQual_E,PavedDrive_E,PoolQC_E,Fence_E,SaleType_E,SaleCondition_E,MSSubClass_E,EnclosedPorch_0,BsmtFinSF2_0,LowQualFinSF_0,WoodDeckSF_0,Fireplaces_0,3SsnPorch_0,PoolArea_0,MiscVal_0,ScreenPorch_0,OpenPorchSF_0,BsmtUnfSF_0,GarageArea_0,2ndFlrSF_0,TotalBsmtSF_0,MasVnrArea_0,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,GarageArea_bin
train,10,11200,5,5,7.583756300707112,1965,0.0,6.810142450115136,6.947937068614969,6.947937068614969,0.0,6.947937068614969,1.0,1,0,3,1,5,384.0,4.0,3.0,1.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,11.4,8.25,8.75,16.333333333333332,14.0,11.0,2
train,11,11924,9,5,7.603897968521881,2006,286.0,6.906754778648554,7.069874128458572,7.075808863978387,7.04141166379481,7.751475318021456,1.0,3,0,4,1,11,736.0,4.0,3.0,2.0,2.0,1.0,24.0,5.0,5.0,5.0,7.0,5.0,3.0,7.0,5.0,4.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,4.0,7.0,5.0,7.0,4.0,4.0,3.0,1.0,5.0,9.0,6.0,15.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11.4,22.25,22.75,16.333333333333332,23.0,14.5,2
train,12,12968,5,6,7.5822291942764615,1962,0.0,6.6039438246004725,6.816735880594968,6.816735880594968,0.0,6.816735880594968,1.0,1,0,2,1,4,352.0,4.0,3.0,4.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,6.0,6.0,3.0,2.0,6.0,2.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,6.7,8.25,8.75,8.0,14.0,3.5,1
train,13,10652,7,5,7.604396348796338,2007,306.0,0.0,7.3098814858247865,7.3098814858247865,0.0,7.3098814858247865,0.0,2,0,3,1,7,840.0,4.0,3.0,2.0,2.0,1.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,9.0,6.0,12.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,14.1,16.5,17.0,22.333333333333332,27.0,17.5,3
train,14,10920,6,5,7.581209826196346,1960,212.0,6.598509028614515,7.134093721192866,7.134093721192866,0.0,7.134093721192866,1.0,1,1,2,1,5,352.0,4.0,3.0,2.0,2.0,3.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,6.0,6.0,3.0,2.0,6.0,2.0,7.0,3.0,6.0,3.0,4.0,3.0,1.0,2.0,5.0,5.0,12.0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,6.7,8.25,8.75,6.666666666666667,14.0,3.5,1
train,15,6120,7,8,7.5652752818989315,2001,0.0,0.0,6.725033642166843,6.75110146893676,0.0,6.75110146893676,0.0,1,0,2,1,5,576.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,4.0,2.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,3.0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,8.7,7.25,7.75,15.0,14.0,11.0,2
train,16,11241,6,7,7.58629630715272,1970,180.0,6.361302477572996,6.912742820493176,6.912742820493176,0.0,6.912742820493176,1.0,1,0,2,1,5,480.0,4.0,3.0,2.0,2.0,5.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,11.4,7.25,7.75,14.666666666666666,14.0,11.0,2
train,17,10791,4,5,7.584773077612199,1967,0.0,0.0,0.0,7.167809184316444,0.0,7.167809184316444,0.0,2,0,2,2,6,516.0,4.0,3.0,1.0,2.0,1.0,7.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,6.0,2.0,7.0,2.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,11.4,7.25,7.75,6.0,5.0,7.0,2
train,18,13695,5,5,7.60339933974067,2004,0.0,6.472346294500901,7.016609683894219,7.016609683894219,0.0,7.016609683894219,1.0,1,1,3,1,6,576.0,4.0,3.0,1.0,2.0,1.0,13.0,2.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,11.4,16.5,17.0,16.333333333333332,27.0,12.5,2
train,19,7560,5,6,7.580189417944541,1965,0.0,6.22455842927536,6.937314081223682,7.200424892944957,0.0,7.200424892944957,0.0,1,0,3,1,6,294.0,4.0,3.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,6.0,6.0,3.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,4.0,3.0,1.0,3.0,4.0,2.0,12.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,6.7,9.75,10.75,7.666666666666667,16.0,5.0,1
train,20,14215,8,5,7.603897968521881,2006,380.0,0.0,7.055312843339752,7.055312843339752,7.105786129481271,7.773594467360194,0.0,3,1,4,1,9,853.0,4.0,3.0,2.0,2.0,3.0,24.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,7.0,3.0,4.0,3.0,1.0,5.0,9.0,6.0,15.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,14.1,16.5,17.0,22.333333333333332,27.0,17.5,3
train,21,7449,7,7,7.565793282428515,1950,0.0,0.0,6.45833828334479,7.011213987350367,0.0,7.011213987350367,0.0,1,0,3,1,6,280.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,1.0,1.0,4.0,5.0,5.0,3.0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,5.2,15.0,17.0,6.0,27.0,4.5,1
train,22,9742,8,5,7.602401335665818,2002,281.0,0.0,7.48324441607385,7.493317248862145,0.0,7.493317248862145,0.0,2,0,3,1,7,534.0,4.0,3.0,1.0,2.0,1.0,17.0,5.0,5.0,5.0,6.0,5.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,11.4,17.25,17.75,15.0,27.0,12.5,2
train,23,4224,5,7,7.589335823170617,1976,0.0,6.734591659972948,6.947937068614969,6.966967138613983,0.0,6.966967138613983,1.0,1,0,3,1,6,572.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,6.0,2.0,3.0,13.0,2.0,2.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,3.0,2.0,6.0,2.0,7.0,4.0,6.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,14.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,8.7,7.25,7.75,16.333333333333332,14.0,11.0,2
train,24,8246,5,8,7.585281078639126,2001,0.0,5.241747015059643,6.966967138613983,6.966967138613983,0.0,6.966967138613983,1.0,1,0,3,1,6,270.0,4.0,3.0,2.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,2.0,3.0,10.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,7.0,6.0,5.0,2.0,6.0,3.0,7.0,4.0,6.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,12.0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,6.7,16.5,16.25,6.333333333333333,22.0,4.0,1
train,25,14230,8,5,7.60489448081162,2007,640.0,0.0,7.356918242356021,7.3783837129967145,0.0,7.3783837129967145,0.0,2,0,3,1,7,890.0,4.0,3.0,1.0,2.0,3.0,24.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,14.1,16.5,17.0,22.333333333333332,27.0,17.5,3
train,26,7200,5,7,7.5766097669730375,2000,0.0,5.459585514144159,6.803505257608338,6.803505257608338,0.0,6.803505257608338,0.0,1,0,3,1,5,576.0,4.0,3.0,1.0,2.0,3.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,3.0,2.0,6.0,3.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,11.4,16.5,17.0,14.666666666666666,33.0,12.0,2
train,27,11478,8,5,7.60489448081162,2008,200.0,7.105786129481271,7.4413203897176174,7.4413203897176174,0.0,7.4413203897176174,1.0,2,0,3,1,7,772.0,4.0,3.0,1.0,2.0,1.0,24.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,14.1,16.5,17.0,22.0,27.0,17.5,3
train,28,16321,5,6,7.579678823090456,1997,0.0,7.15305163493748,7.3031700512368,7.3783837129967145,0.0,7.3783837129967145,1.0,1,0,2,1,6,319.0,4.0,3.0,2.0,2.0,5.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,6.0,6.0,3.0,2.0,6.0,2.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,6.7,7.25,7.75,6.666666666666667,14.0,3.5,1
train,29,6324,4,6,7.564238475170491,1950,0.0,0.0,6.255750041753367,6.255750041753367,0.0,6.255750041753367,0.0,1,0,1,1,4,240.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,2.0,1.0,6.0,1.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,4.1,2.25,3.0,6.0,6.0,3.0,1
train,30,8500,4,4,7.560601162768557,1950,0.0,0.0,6.476972362889683,6.476972362889683,6.505784060128229,7.183870715062453,0.0,1,0,3,1,6,250.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,5.0,5.0,7.0,1.0,3.0,11.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,3.0,1.0,6.0,2.0,7.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,5.0,5.0,10.0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,8.0,6.0,5.25,6.0,14.0,3.5,1
train,31,8544,5,6,7.584264818389059,2006,0.0,0.0,7.113956109566034,7.113956109566034,0.0,7.113956109566034,0.0,1,1,3,1,6,271.0,4.0,3.0,2.0,2.0,5.0,7.0,5.0,5.0,5.0,6.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,6.0,3.0,7.0,2.0,6.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,12.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,6.7,16.5,17.0,6.0,27.0,4.5,1
train,32,11049,8,5,7.60489448081162,2007,0.0,0.0,7.118826249062078,7.118826249062078,0.0,7.118826249062078,0.0,2,0,3,1,7,484.0,4.0,3.0,1.0,2.0,3.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,2.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,11.4,16.5,17.0,15.0,27.0,12.5,2
train,33,10552,5,5,7.580699752224563,1959,0.0,6.926577033222725,7.243512974665482,7.438971592395862,0.0,7.438971592395862,0.0,1,1,4,1,6,447.0,4.0,3.0,2.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,11.4,17.25,17.75,16.333333333333332,27.0,12.5,2
train,34,7313,9,5,7.603897968521881,2005,246.0,7.050989447068045,7.3537223303996315,7.3537223303996315,0.0,7.3537223303996315,1.0,2,0,2,1,6,556.0,4.0,3.0,1.0,2.0,1.0,24.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,14.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,11.4,22.25,22.75,16.333333333333332,23.0,14.5,2
train,35,13418,8,5,7.60339933974067,2005,132.0,0.0,7.0192966537150445,7.0326242610280065,7.186144304522325,7.8050670442584895,0.0,3,1,4,1,9,691.0,4.0,3.0,1.0,2.0,1.0,24.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,7.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,15.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11.4,16.5,17.0,15.0,27.0,12.5,2
train,36,10859,5,5,7.598399329323964,1995,0.0,0.0,7.001245622069476,7.001245622069476,0.0,7.001245622069476,0.0,1,1,3,1,6,672.0,4.0,3.0,1.0,2.0,3.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,2.0,6.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,11.4,7.25,7.75,15.0,14.0,11.0,2
train,37,8532,5,6,7.578145472419466,1990,650.0,7.101675971619444,7.168579897264035,7.168579897264035,0.0,7.168579897264035,0.0,1,0,3,1,5,498.0,4.0,3.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0,6.0,2.0,7.0,4.0,6.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,11.4,8.25,8.75,16.333333333333332,14.0,11.0,2
train,38,7922,5,7,7.577633832602728,2007,0.0,6.595780513961311,6.964135612418245,6.964135612418245,0.0,6.964135612418245,1.0,1,0,3,1,5,246.0,4.0,3.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,7.0,6.0,6.0,3.0,2.0,6.0,3.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,12.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,6.7,16.5,16.25,7.0,27.0,4.5,1
train,39,6040,4,5,7.578656850594762,1955,0.0,0.0,0.0,7.050122520269059,0.0,7.050122520269059,0.0,2,0,2,2,6,0.0,4.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.7,3.25,4.0,3.3333333333333335,1.0,2.0,1
train,40,8658,6,5,7.583756300707112,1965,101.0,6.467698726104354,6.9930151229329605,7.1891677384203225,0.0,7.1891677384203225,0.0,2,0,3,1,6,440.0,4.0,3.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,2.0,5.0,2.0,12.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,11.4,7.25,7.75,16.333333333333332,14.0,11.0,2
train,41,16905,5,6,7.580699752224563,1959,0.0,6.875232087276577,7.208600337960199,7.192182058713246,0.0,7.192182058713246,0.0,1,1,2,1,5,308.0,4.0,3.0,1.0,2.0,1.0,22.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,6.0,6.0,4.0,2.0,6.0,2.0,7.0,5.0,6.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,12.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,6.7,7.25,8.0,6.666666666666667,14.0,3.5,1
train,42,9180,5,7,7.592870287844818,1983,0.0,6.617402977974478,6.734591659972948,6.785587645007929,0.0,6.785587645007929,1.0,1,0,2,1,5,504.0,4.0,3.0,2.0,2.0,5.0,13.0,5.0,5.0,5.0,2.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,4.0,2.0,6.0,3.0,7.0,2.0,6.0,3.0,4.0,3.0,1.0,3.0,5.0,5.0,8.0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,11.4,16.5,17.0,13.0,26.0,11.5,2
